playerID,Name
bohanbr01,Brian Bohanon
swindgr01,Greg Swindell
mussimi01,Mike Mussina
langsma01,Mark Langston
percitr01,Troy Percival
cookde01,Dennis Cook
parkch01,Chan Ho Park
riverma01,Mariano Rivera
martira02,Ramon Martinez
brownke01,Kevin Brown
arrojro01,Rolando Arrojo
belinst01,Stan Belinda
runyase01,Sean Runyan
yanes01,Esteban Yan
botteke01,Kent Bottenfield
assenpa01,Paul Assenmacher
nomohi01,Hideo Nomo
wittbo01,Bobby Witt
rockejo01,John Rocker
maddugr01,Greg Maddux
glavito02,Tom Glavine
stottto01,Todd Stottlemyre
ericksc01,Scott Erickson
sirotmi01,Mike Sirotka
plunker01,Eric Plunk
groombu01,Buddy Groom
ayalabo01,Bobby Ayala
slocuhe01,Heathcliff Slocumb
rogerke01,Kenny Rogers
woodke02,Kerry Wood
tabakje01,Jeff Tabaka
scanlbo01,Bob Scanlan
aguilri01,Rick Aguilera
mcelrch01,Chuck McElroy
burbada01,Dave Burba
averyst01,Steve Avery
yoshima01,Masato Yoshii
olsongr01,Gregg Olson
schilcu01,Curt Schilling
byrdpa01,Paul Byrd
leitema01,Mark Leiter
portuma01,Mark Portugal
perezyo01,Yorkis Perez
spradje01,Jerry Spradlin
greenty01,Tyler Green
bottari01,Ricky Bottalico
gomeswa01,Wayne Gomes
loeweca01,Carlton Loewer
beechma01,Matt Beech
winstda01,Darrin Winston
gracemi02,Mike Grace
ryanke01,Ken Ryan
saundto01,Tony Saunders
paintla01,Lance Painter
osunaan01,Antonio Osuna
myersra01,Randy Myers
daalom01,Omar Daal
belchti01,Tim Belcher
colonba01,Bartolo Colon
mantema01,Matt Mantei
beckro01,Rod Beck
kileda01,Darryl Kile
darwida01,Danny Darwin
martipe02,Pedro Martinez
ashbyan01,Andy Ashby
seleaa01,Aaron Sele
reynoar02,Armando Reynoso
piscima01,Marc Pisciotta
klinest02,Steve Kline
oroscje01,Jesse Orosco
nenro01,Robb Nen
guthrma01,Mark Guthrie
bereja01,Jason Bere
clemero02,Roger Clemens
shawje01,Jeff Shaw
pettian01,Andy Pettitte
shueypa01,Paul Shuey
rhodear01,Arthur Rhodes
wakefti01,Tim Wakefield
hershor01,Orel Hershiser
francjo01,John Franco
keyji01,Jimmy Key
mcmicgr01,Greg McMichael
